Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Ent. Value,MC Group,Sector,Change 1W,Change 1M,Change 6M,Change 3M,Change YTD,Change 1Y,Change 5Y
FICO,Fair Isaac Corporation,44796483815,1847.75,-1.73%,Software - Application,103248,90.03,46876800815,Large-Cap,Technology,-7.39%,-10.07%,18.20%,-5.72%,-5.56%,49.21%,361.39%
NET,"Cloudflare, Inc.",42243737028,123.29,0.16%,Software - Infrastructure,870217,,41867602028,Large-Cap,Technology,7.52%,9.23%,56.48%,35.65%,14.31%,51.31%,583.83%
HUBS,"HubSpot, Inc.",37632571928,734.11,0.54%,Software - Application,61572,,36452593928,Large-Cap,Technology,2.96%,1.55%,52.17%,37.01%,4.79%,25.59%,301.54%
ANSS,"ANSYS, Inc.",31187257837,360.08,0.97%,Software - Application,119375,54.95,30734946837,Large-Cap,Technology,3.95%,5.39%,13.38%,8.91%,5.72%,5.83%,30.24%
ZS,"Zscaler, Inc.",29196372920,191.29,-0.85%,Software - Infrastructure,379258,,27725812920,Large-Cap,Technology,1.55%,2.96%,2.33%,2.64%,6.94%,-16.59%,218.84%
GDDY,GoDaddy Inc.,28681881300,205.57,0.62%,Software - Infrastructure,169378,16.40,31798381300,Large-Cap,Technology,1.68%,-0.57%,38.76%,24.80%,3.48%,88.70%,183.81%
IOT,Samsara Inc.,26328621669,47.24,-1.19%,Software - Infrastructure,603555,,25722422669,Large-Cap,Technology,4.69%,7.88%,33.81%,-2.71%,9.43%,48.20%,
CPAY,"Corpay, Inc.",26030784510,375.45,0.55%,Software - Infrastructure,70860,26.63,28324517510,Large-Cap,Technology,1.49%,9.21%,29.33%,7.61%,10.96%,30.63%,17.97%
TYL,"Tyler Technologies, Inc.",25081263558,587.63,0.27%,Software - Application,32923,106.94,25178811558,Large-Cap,Technology,1.51%,-3.52%,10.40%,-0.30%,1.29%,32.71%,87.52%
ZM,Zoom Communications Inc.,24298919240,78.96,-0.40%,Software - Application,1423196,26.25,16634472240,Large-Cap,Technology,-1.22%,-7.38%,34.67%,9.85%,-2.85%,14.83%,3.32%
PTC,PTC Inc.,22618503080,187.66,-0.14%,Software - Application,274726,60.23,24283021080,Large-Cap,Technology,1.38%,0.19%,6.83%,1.69%,2.21%,7.57%,138.28%
