Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio
IRTC,"iRhythm Technologies, Inc.",3467505420,111.31,0.47%,Medical Devices,91301,
HTGC,"Hercules Capital, Inc.",3495760520,20.98,0.72%,Asset Management,197614,10.23
PBF,PBF Energy Inc.,3376557590,29.87,1.84%,Oil & Gas Refining & Marketing,382147,
UEC,Uranium Energy Corp.,3342395200,8.16,3.29%,Uranium,3941770,
DEI,"Douglas Emmett, Inc.",2889928100,17.16,-1.55%,REIT - Office,258400,
IGT,International Game Technology PLC,3516820000,17.06,-2.01%,Gambling,406127,26.54
REZI,"Resideo Technologies, Inc.",3393583480,23.41,0.95%,Industrial Distribution,96989,20.79
VAL,Valaris Limited,3432173984,48.31,0.11%,Oil & Gas Equipment & Services,328144,3.36
HL,Hecla Mining Company,3430325775,5.46,-0.34%,Other Precious Metals & Mining,7461101,
SG,"Sweetgreen, Inc.",3370718350,29.55,1.44%,Restaurants,674047,
AVPT,"AvePoint, Inc.",3288942940,18.19,3.71%,Software - Infrastructure,531114,
FBP,First BanCorp.,3210213300,20.92,6.79%,Banks - Regional,429784,10.82
CDP,COPT Defense Properties,3360505260,29.62,-0.66%,REIT - Office,161744,24.64
RIG,Transocean Ltd.,3389361480,3.87,,Oil & Gas Drilling,7872909,
AMBA,"Ambarella, Inc.",3390581110,81.19,-0.45%,Semiconductor Equipment & Materials,145117,
ZI,ZoomInfo Technologies Inc.,3395919410,9.86,-0.35%,Software - Application,1839342,329.67
FUL,H.B. Fuller Company,3353284534,61.90,0.20%,Specialty Chemicals,81724,18.90
VRN,Veren Inc.,3360848400,5.44,-0.37%,Oil & Gas Exploration & Production,6466823,3.81
NMRK,"Newmark Group, Inc.",2352415277,13.86,0.73%,Real Estate Services,152459,45.80
VCYT,"Veracyte, Inc.",3336357780,43.40,0.81%,Diagnostics & Research,125667,
MEOH,Methanex Corporation,3384874125,50.21,0.88%,Chemicals,145248,23.47
FORM,"FormFactor, Inc.",3423316520,43.08,-2.53%,Semiconductor Equipment & Materials,173728,25.40
YOU,"Clear Secure, Inc.",2313711611,23.91,-2.84%,Software - Application,858626,28.29
HBM,Hudbay Minerals Inc.,3320862010,8.31,-1.42%,Copper,2420543,36.65
AEO,"American Eagle Outfitters, Inc.",3300312360,17.30,0.67%,Apparel Retail,560086,14.68
SYNA,Synaptics Incorporated,3344475816,84.38,1.07%,Semiconductors,100783,20.82
GMS,GMS Inc.,3309409530,85.12,-0.16%,Building Products & Equipment,41210,15.64
PCH,PotlatchDeltic Corporation,3291505770,41.88,0.22%,REIT - Specialty,64221,208.95
ABM,ABM Industries Incorporated,3294914098,52.81,-0.30%,Specialty Business Services,55881,41.38
STR,Sitio Royalties Corp.,1688557518,21.42,0.49%,Oil & Gas Exploration & Production,119217,
CLSK,"CleanSpark, Inc.",3298636550,11.66,4.62%,Capital Markets,15611483,
HAYW,"Hayward Holdings, Inc.",3267997250,15.19,0.13%,Electrical Equipment & Parts,160993,36.12
